amtinstpaidbefduel24m_4187115A,annuity_780A,annuitynextmonth_57A,avginstallast24m_3658937A,avglnamtstart24m_4525187A,avgoutstandbalancel6m_4187114A,avgpmtlast12m_4525200A,credamount_770A,currdebt_22A,currdebtcredtyperange_828A,disbursedcredamount_1113A,downpmt_116A,inittransactionamount_650A,lastapprcommoditycat_1041M,lastapprcommoditytypec_5251766M,lastapprcredamount_781A,lastcancelreason_561M,lastotherinc_902A,lastotherlnsexpense_631A,lastrejectcommoditycat_161M,lastrejectcommodtypec_5251769M,lastrejectcredamount_222A,lastrejectreason_759M,lastrejectreasonclient_4145040M,maininc_215A,maxannuity_159A,maxannuity_4075009A,maxdebt4_972A,maxinstallast24m_3658928A,maxlnamtstart6m_4525199A,maxoutstandbalancel12m_4187113A,maxpmtlast3m_4525190A,previouscontdistrict_112M,price_1097A,sumoutstandtotal_3546847A,sumoutstandtotalest_4493215A,totaldebt_9A,totalsettled_863A,totinstallast1m_4525188A,description_5085714M,education_1103M,education_88M,maritalst_385M,maritalst_893M,pmtaverage_3A,pmtaverage_4527227A,pmtaverage_4955615A,pmtssum_45A
0.0,2169.8,0.0,,,,,10631.2,0.0,0.0,10631.2,0.0,,P12_6_178,a55475b1,8209.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,20000.0,13318.0,,8876.0,,,,,P92_92_93,10631.2,0.0,,0.0,11404.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,0.0
10758.601,3187.2,10758.601,10758.601,237904.4,340377.78,10758.601,46360.402,504736.3,0.0,46360.402,0.0,,a55475b1,a55475b1,0.0,a55475b1,,,a55475b1,a55475b1,70000.0,P94_109_143,P94_109_143,,182000.0,,0.0,10758.601,237904.4,516397.0,10758.601,P123_6_84,46360.402,504736.3,504736.3,504736.3,232695.5,10758.601,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,
0.0,1028.8,0.0,,,,,9956.0,0.0,0.0,9956.0,0.0,,P109_133_183,a55475b1,29300.0,a55475b1,,,a55475b1,a55475b1,40000.0,a55475b1,a55475b1,11000.0,6581.4,,2538.658,,,,,P41_45_175,9956.0,0.0,0.0,0.0,47661.0,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,
0.0,500.0,2887.2,,,,,5998.0,51968.402,51968.402,5998.0,0.0,,P148_110_5,a55475b1,41998.0,a55475b1,,,P52_56_90,a55475b1,6411.4,a55475b1,a55475b1,60000.0,2465.2,,0.0,,,,,P159_143_123,5998.0,0.0,,51968.402,7408.6,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,5950.0
38302.0,1533.4,2198.4001,4011.6,23980.0,16340.877,3898.2,34000.0,21975.0,21975.0,34000.0,0.0,,a55475b1,a55475b1,0.0,a55475b1,,,a55475b1,a55475b1,43800.0,P99_56_166,P94_109_143,,23836.0,,26209.6,4918.2,25466.4,30611.0,2198.4001,P186_84_175,,21975.0,21975.0,21975.0,137474.0,2198.4001,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,
133422.4,26294.201,16674.6,16677.8,,59519.777,,253620.0,16651.201,16651.201,253620.0,0.0,,P109_133_183,a55475b1,200000.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,40000.0,37500.0,,200000.0,16678.6,,200131.2,,P98_137_111,253620.0,16651.201,,16651.201,183480.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,40983.0
147701.11,25245.6,0.0,9846.8,,0.0,18519.0,214000.0,0.0,0.0,214000.0,0.0,,P105_126_172,a55475b1,40250.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,46000.0,80420.0,34120.0,82000.0,40250.0,78786.6,38491.855,,P131_33_167,0.0,0.0,0.0,0.0,180634.7,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,
222981.75,3730.2,5762.0,9800.4,,110827.04,11763.0,60000.0,97603.086,97603.086,60000.0,0.0,,a55475b1,a55475b1,80000.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,50000.0,74961.75,,103980.0,74961.805,99593.6,138282.8,5762.0,P40_31_175,,97603.086,97603.086,97603.086,306923.28,5762.0,a55475b1,a55475b1,a55475b1,3439d993,a55475b1,7553.0,7553.0,,
22084.72,942.8,1111.4,1840.4,,13349.773,,15716.0,10914.4,0.0,10516.0,0.0,10516.0,P159_130_59,a55475b1,20378.0,a55475b1,,,a55475b1,a55475b1,24000.0,P45_84_106,P94_109_143,50000.0,23962.0,,15253.4,2543.4001,,16596.4,,P85_130_149,10516.0,10914.4,,10914.4,42684.0,,a55475b1,6b2ae0fa,a55475b1,a7fcb6e5,a55475b1,,,,18201.76
2658.4001,3585.6,0.0,1329.2001,,11983.5,1329.2001,40000.0,0.0,0.0,40000.0,0.0,,P159_130_59,a55475b1,45578.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,64000.0,9653.418,,26004.0,1329.2001,45578.0,23978.0,,P159_143_123,0.0,0.0,0.0,0.0,53193.418,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,10401.601
93388.59,6056.8003,0.0,7183.8003,,,26162.201,33339.402,0.0,0.0,33339.402,0.0,,a55475b1,a55475b1,86000.0,P94_109_143,,,P159_130_59,P75_90_70,20622.4,P99_56_166,P94_109_143,53000.0,32040.0,,89980.0,26162.201,,0.0,,P65_13_8,33339.402,0.0,0.0,0.0,212303.61,,2fc785b2,6b2ae0fa,a55475b1,3439d993,a55475b1,,,24223.201,
26003.8,4073.6,0.0,2318.2,,,,46658.0,0.0,0.0,46658.0,0.0,,P148_110_5,a55475b1,12598.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,50000.0,6473.0,,24940.4,4366.4,,0.0,,P131_33_167,46658.0,0.0,,0.0,51891.6,,a55475b1,6b2ae0fa,a55475b1,b6cabe76,a55475b1,19432.8,,,
79083.0,3936.2,4352.2,4104.0,30000.0,40795.96,4561.8003,51534.0,51763.098,30464.201,51534.0,0.0,,a55475b1,a55475b1,30000.0,a55475b1,,,a55475b1,a55475b1,40000.0,P99_56_166,P94_109_143,60000.0,15600.0,,75593.336,7018.6,49418.6,77976.14,6469.4,P181_116_184,51534.0,51763.098,51763.098,51763.098,239766.8,6160.6,a55475b1,a55475b1,a55475b1,3439d993,a55475b1,,,,
,4132.0,0.0,,,,,54060.0,0.0,0.0,54060.0,0.0,,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,,,,,,,,,a55475b1,54060.0,,,0.0,0.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,0.0
30520.8,1500.0,0.0,5086.8003,,,,17998.0,0.0,0.0,17998.0,0.0,,P12_6_178,a55475b1,27799.201,P94_109_143,,,a55475b1,a55475b1,100000.0,P99_56_166,P94_109_143,26000.0,5200.0,,30510.0,5087.0,,,,P112_89_137,17998.0,0.0,,0.0,40008.8,,a55475b1,6b2ae0fa,a55475b1,b6cabe76,a55475b1,,,,9507.2
,1531.0,0.0,2506.0,,,,18372.0,8044.574,0.0,18372.0,0.0,,P159_130_59,a55475b1,18506.0,a55475b1,,,P159_130_59,a55475b1,13534.0,P94_109_143,P94_109_143,30000.0,11855.226,,20413.8,5501.4,,,,P104_17_174,18372.0,8808.15,,8044.574,74561.18,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,17851.266
120893.6,720.60004,11703.0,5803.0,,88762.734,9300.2,5697.8003,50079.0,50079.0,5697.8003,0.0,,P148_110_5,a55475b1,52937.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,62000.0,20594.8,,112392.664,12780.2,35140.2,132095.0,12779.2,P133_12_111,5697.8003,50079.0,50079.0,50079.0,144238.4,11703.0,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,10145.8
94593.2,13099.601,0.0,4766.0,65380.0,32689.848,7064.2,69277.805,0.0,0.0,69277.805,0.0,,P109_133_183,a55475b1,65380.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,70000.0,76080.0,,69955.805,21963.0,65380.0,65379.59,21793.201,P62_144_102,69277.805,0.0,0.0,0.0,312509.44,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,
,1452.2001,0.0,,,,,7978.0,0.0,0.0,7978.0,0.0,,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,,,,,,,,,a55475b1,7978.0,,,0.0,0.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,
16869.6,1831.0,2444.4001,1985.4,,27150.688,2304.0,15998.0,19451.4,19451.4,15998.0,0.0,,P159_130_59,a55475b1,29996.0,a55475b1,,,P159_130_59,a55475b1,29996.0,P99_56_166,P94_109_143,24000.0,3280.0,,31976.0,2444.4001,23007.0,44797.402,2444.4001,P15_41_112,15998.0,19451.4,19451.4,19451.4,44580.2,4888.8003,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,
,9117.601,0.0,11745.2,,,,140000.0,0.0,0.0,140000.0,0.0,,a55475b1,a55475b1,100000.0,a55475b1,,,P159_130_59,a55475b1,67240.0,P94_109_143,P30_86_84,70000.0,224507.8,,29942.3,120487.805,,,,P56_25_83,0.0,0.0,,0.0,235460.2,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,14841.101,,,
152068.9,3852.2,4358.6,6336.2,70000.0,77026.734,6438.4,46226.0,82206.24,0.0,46226.0,4000.0,,a55475b1,a55475b1,70000.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,70000.0,18063.9,,100000.0,18064.0,70000.0,100224.6,4358.6,P106_139_158,50226.0,82206.24,82206.24,82206.24,211337.53,8717.2,2fc785b2,717ddd49,a55475b1,3439d993,a55475b1,,,,
37483.28,1200.0,0.0,2677.4001,,5235.0,,20000.0,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,100000.0,P30_86_84,,,a55475b1,a55475b1,10000.0,P30_86_84,P30_86_84,28000.0,11313.2,,35850.8,4428.2,,10480.0,,P158_150_171,,0.0,,0.0,91257.305,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,10446.0
,1336.4,0.0,,,,,37876.0,0.0,0.0,22276.0,0.0,22276.0,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,,,,,,,,,a55475b1,22276.0,,,0.0,0.0,,a55475b1,6b2ae0fa,a55475b1,a7fcb6e5,a55475b1,,,,
,2833.2,0.0,,,,,33998.0,0.0,0.0,33998.0,0.0,,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,,,,,,,,,a55475b1,33998.0,,,0.0,0.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,24638.564
,8949.4,0.0,,,,,107392.0,0.0,0.0,107392.0,0.0,,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,,,,,,,,,a55475b1,107392.0,,,0.0,0.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,7831.4
0.0,4391.0,0.0,,,,,52692.0,0.0,0.0,52692.0,0.0,,P12_6_178,a55475b1,11400.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,15000.0,5249.8003,,0.0,,,,,P121_18_172,52692.0,0.0,,0.0,29057.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,17544.668,,,
130650.4,3834.4001,0.0,8710.0,,,,55776.0,0.0,0.0,55776.0,0.0,,a55475b1,a55475b1,34000.0,a55475b1,,,a55475b1,a55475b1,60000.0,P99_56_166,P94_109_143,45200.0,20865.455,,89552.195,11273.601,,22680.0,,P204_99_158,55776.0,0.0,,0.0,626481.7,,a55475b1,6b2ae0fa,a55475b1,b6cabe76,a55475b1,19550.4,,,
43182.418,3983.2,0.0,2399.0,,10565.774,2757.0,71695.0,0.0,0.0,71695.0,0.0,,P12_6_178,a55475b1,32997.2,P11_56_131,,,a55475b1,a55475b1,,a55475b1,a55475b1,30000.0,11487.218,,32997.2,11963.601,32997.2,28007.219,11963.618,P62_144_102,71695.0,0.0,0.0,0.0,43207.22,,a55475b1,6b2ae0fa,a55475b1,a7fcb6e5,a55475b1,,,,
0.0,4251.0,0.0,,,,,23400.0,0.0,0.0,23400.0,0.0,,a55475b1,a55475b1,40000.0,a55475b1,,,a55475b1,a55475b1,50000.0,a55475b1,a55475b1,18600.0,18738.0,,18932.424,,,,,a55475b1,23400.0,0.0,,0.0,141473.2,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,3773.28
,2895.6,0.0,,,,,25974.0,0.0,0.0,25974.0,0.0,,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,,,,,,,,,a55475b1,25974.0,,,0.0,0.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,5943.6
,3119.6,0.0,,,,,51995.0,0.0,0.0,51995.0,0.0,51995.0,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,,,,,,,,,a55475b1,51995.0,,,0.0,0.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,13462.2
,3361.0,0.0,,,,,32040.0,0.0,0.0,32040.0,0.0,,a55475b1,a55475b1,,P94_109_143,,,P12_6_178,a55475b1,69053.0,P198_131_9,P94_109_143,,0.0,,0.0,,,,,a55475b1,32040.0,,,0.0,0.0,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,
7960.0,2776.4001,0.0,2259.0,,7672.0,,13740.0,0.0,0.0,13740.0,1240.0,,P109_133_183,a55475b1,13260.0,a55475b1,,,P159_130_59,a55475b1,7888.0,P94_109_143,P94_109_143,57000.0,15552.0,,36471.2,3854.6,,15440.0,,P123_6_84,14980.0,0.0,,0.0,143375.2,,a55475b1,717ddd49,a55475b1,a7fcb6e5,a55475b1,,,,0.0
0.0,944.0,0.0,,,5203.45,,8000.0,0.0,0.0,8000.0,0.0,,a55475b1,a55475b1,30000.0,P94_109_143,,,P148_110_5,a55475b1,6200.0,P99_56_166,P94_109_143,8000.0,142278.0,,34076.273,,,40688.414,,P149_105_2,8000.0,0.0,,0.0,104619.96,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,8127.4204
,3383.2,0.0,,,,,40598.0,0.0,0.0,40598.0,400.0,,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,34000.0,a55475b1,a55475b1,,0.0,,0.0,,,,,a55475b1,40998.0,,,0.0,0.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,18213.8,
726.60004,1452.8,726.60004,726.60004,3842.0,3988.8,726.60004,14238.2,2818.8,2818.8,14238.2,0.0,,a55475b1,a55475b1,3518.0,a55475b1,,,P52_56_90,a55475b1,11000.0,a55475b1,a55475b1,42205.0,740.0,,0.0,726.60004,3842.0,4358.8003,726.60004,P117_30_169,14238.2,3618.8,3618.8,2818.8,1540.0,726.60004,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,
48602.0,4801.8003,4107.6,5400.2,,30792.734,,42720.0,20529.4,20529.4,42720.0,0.0,,P109_133_183,a55475b1,36144.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,76000.0,10780.0,,45538.605,10723.601,,55929.402,,P123_6_84,42720.0,20529.4,,20529.4,53269.2,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,36384.8
26233.656,3000.0,0.0,1643.4,,8979.78,1023.60004,53998.0,0.0,0.0,53998.0,0.0,,P12_6_178,a55475b1,37050.0,P94_109_143,,,P159_130_59,a55475b1,16706.0,P45_84_106,P94_109_143,20000.0,43604.402,,50064.0,7071.2,18800.0,19309.053,957.60004,P50_139_56,53998.0,0.0,0.0,0.0,150444.12,416.132,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,15745.2
164251.78,861.8,7386.6,7141.4,,151407.0,,9210.0,132947.2,0.0,9210.0,0.0,,a55475b1,a55475b1,150000.0,P94_109_143,,,a55475b1,a55475b1,10000.0,P99_56_166,P94_109_143,90000.0,56920.0,,150000.0,20858.6,,214199.8,,P2_93_127,9210.0,132947.2,,132947.2,218331.4,,a55475b1,717ddd49,a55475b1,a7fcb6e5,a55475b1,,,,21740.4
,1969.4,2023.2001,1598.2001,,,,9680.0,2699.076,2699.076,9680.0,0.0,,P159_130_59,a55475b1,2012.0,a55475b1,,,a55475b1,a55475b1,60000.0,P94_109_143,P94_109_143,200000.0,4920.0,,20785.6,3593.4001,,,,P2_93_127,9680.0,4043.0762,,2699.076,50833.926,,a55475b1,717ddd49,a55475b1,3439d993,a55475b1,,,,5237.2
96638.65,1733.8,0.0,8053.2,,,,18824.0,0.0,0.0,18824.0,0.0,,P148_110_5,a55475b1,74790.0,a55475b1,,,P159_130_59,a55475b1,8396.0,P99_56_166,P94_109_143,110000.0,28998.848,,77258.0,22527.201,,21898.85,,P204_99_158,18824.0,0.0,,0.0,104388.85,,a55475b1,6b2ae0fa,6b2ae0fa,a7fcb6e5,1a19667c,,,,17346.0
,4175.6,0.0,,,,,69594.0,0.0,0.0,53594.0,0.0,53594.0,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,,,,,,,,,a55475b1,53594.0,,,0.0,0.0,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,
38628.8,2069.6,4825.6,4828.6,,19594.828,4828.6,20000.0,4825.6,4825.6,20000.0,0.0,,a55475b1,a55475b1,44000.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,90000.0,16200.0,,45980.0,4828.6,45980.0,58385.6,4828.6,P131_33_167,,4825.6,4825.6,4825.6,53560.0,4828.6,a55475b1,a55475b1,a55475b1,a7fcb6e5,a55475b1,,,,
,10000.0,0.0,,,,,120000.0,0.0,0.0,120000.0,17164.0,,a55475b1,a55475b1,,P94_109_143,,,P109_133_183,a55475b1,33821.2,P94_109_143,P94_109_143,,0.0,,0.0,,,,,a55475b1,137164.0,,,0.0,0.0,,2fc785b2,a55475b1,a55475b1,a7fcb6e5,a55475b1,,,28056.4,
143437.62,2951.6,0.0,23906.201,,,,49196.0,0.0,0.0,49196.0,0.0,49196.0,a55475b1,a55475b1,111200.0,a55475b1,,,P159_130_59,a55475b1,21196.0,a55475b1,a55475b1,80000.0,125313.0,,123723.35,120884.0,,,,P131_33_167,49196.0,0.0,,0.0,174493.0,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,12700.0
134310.61,3155.6,7112.2,6549.6,139206.8,209985.67,8134.6,31978.0,220431.8,0.0,31978.0,0.0,,a55475b1,a55475b1,120000.0,P180_60_137,,,a55475b1,a55475b1,200000.0,P99_56_166,P94_109_143,50000.0,33622.0,,149007.92,14809.4,55216.2,266921.8,9779.8,P44_55_159,31978.0,220431.8,220431.8,220431.8,144509.67,16890.4,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,
176530.3,7465.8003,0.0,12609.4,,0.0,,60000.0,0.0,0.0,60000.0,0.0,,a55475b1,a55475b1,80000.0,a55475b1,,,a55475b1,a55475b1,150000.0,P94_109_143,P94_109_143,80000.0,254080.0,,63800.0,93506.0,,29463.662,,P123_6_84,,0.0,,0.0,182331.67,,a55475b1,a55475b1,a55475b1,3439d993,a55475b1,,,,9793.8
57486.77,4309.6,0.0,3381.6,,1875.0,3633.6,60000.0,0.0,0.0,60000.0,0.0,,a55475b1,a55475b1,20000.0,P94_109_143,,,a55475b1,a55475b1,26000.0,P198_131_9,P94_109_143,40000.0,9205.166,,39369.84,7023.2,22864.8,28845.166,2483.6,P56_25_83,,0.0,0.0,0.0,57525.168,,a55475b1,a55475b1,a55475b1,a7fcb6e5,a55475b1,,,,
,3804.8,0.0,,,,,54000.0,0.0,0.0,54000.0,0.0,,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,,,,,,,,,a55475b1,,,,0.0,0.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,13406.2,,,
,3514.0,0.0,,,,,46000.0,0.0,0.0,46000.0,0.0,,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,,,,,,,,,a55475b1,46000.0,,,0.0,0.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,600.0
23385.201,2554.0,2793.0,2941.8,33516.0,19804.0,2941.8,12720.0,19516.0,19516.0,12720.0,0.0,,P159_130_59,a55475b1,33516.0,P94_109_143,,,a55475b1,a55475b1,120000.0,P99_56_166,P94_109_143,30000.0,10000.0,,37800.26,4359.8003,17291.4,36656.0,4359.8003,P112_89_137,12720.0,19516.0,19516.0,19516.0,23440.0,7151.6,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,
224387.75,2873.4001,1493.2001,9384.601,14209.601,33993.62,8215.601,30000.0,11815.761,11815.761,30000.0,0.0,,a55475b1,a55475b1,0.0,P94_109_143,,,P148_110_5,a55475b1,64695.2,P198_131_9,P94_109_143,,68540.766,,137178.8,34902.6,26713.201,82344.4,34902.543,P62_144_102,0.0,11815.761,11815.761,11815.761,582447.94,36395.742,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,6921.2,,
7812.2783,1436.2001,6274.4,512.60004,,75291.805,,14554.0,68991.805,68991.805,14554.0,0.0,,a55475b1,a55475b1,75291.805,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,50000.0,9697.601,,12144.0,768.8,23144.0,75291.805,,P159_143_123,14554.0,68991.805,68991.805,68991.805,18500.0,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,
63725.508,6532.2,0.0,2770.6,,14530.327,3370.2,66196.2,0.0,0.0,66196.2,0.0,,P12_6_178,P111_89_135,53252.0,P94_109_143,,,P159_130_59,P75_90_70,21420.0,P198_131_9,P94_109_143,100000.0,18957.908,,53252.0,14859.2,,34837.91,14859.108,P192_103_107,66196.2,0.0,0.0,0.0,65957.91,,2fc785b2,a55475b1,a55475b1,a7fcb6e5,a55475b1,,,,
31471.6,2294.2,0.0,1656.4,,760.0,,30030.0,0.0,0.0,30030.0,0.0,,P52_56_90,a55475b1,20180.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,70000.0,6000.0,,27608.6,3836.6,,10720.0,,P204_99_158,30030.0,0.0,,0.0,73280.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,0.0
